"x" "y" "sp"
8.875 53.125 "Populus_spp"
15.625 50.7916666666667 "Populus_spp"
8.29166666666666 53.2083333333333 "Populus_spp"
20.2083333333333 49.0416666666667 "Populus_spp"
5.04166666666666 48.5416666666667 "Populus_spp"
22.125 53.875 "Populus_spp"
22.375 53.125 "Populus_spp"
16.2916666666667 48.5416666666667 "Populus_spp"
22.625 52.9583333333333 "Populus_spp"
7.875 47.625 "Populus_spp"
14.875 52.5416666666667 "Populus_imagines"
20.125 51.875 "Populus_imagines"
18.7083333333333 47.625 "Populus_spp"
8.20833333333333 53.5416666666667 "Populus_spp"
23.9583333333333 50.625 "Populus_spp"
19.5416666666667 53.2916666666667 "Populus_imagines"
21.375 53.4583333333333 "Populus_spp"
12.625 51.7083333333333 "Populus_spp"
16.7083333333333 53.4583333333333 "Populus_imagines"
11.0416666666667 50.4583333333333 "Populus_imagines"
7.125 50.9583333333333 "Populus_spp"
21.9583333333333 51.9583333333333 "Populus_spp"
12.125 49.9583333333333 "Populus_imagines"
15.0416666666667 54.125 "Populus_spp"
19.2083333333333 53.0416666666667 "Populus_imagines"
7.04166666666666 48.0416666666667 "Populus_spp"
8.54166666666666 55.125 "Populus_spp"
8.125 52.125 "Populus_spp"
18.7916666666667 51.875 "Populus_spp"
22.9583333333333 52.0416666666667 "Populus_spp"
24.7083333333333 51.7916666666667 "Populus_spp"
3.79166666666667 49.9583333333333 "Populus_spp"
12.125 50.7916666666667 "Populus_imagines"
20.9583333333333 47.0416666666667 "Populus_spp"
12.125 55.2083333333333 "Populus_spp"
12.7916666666667 49.125 "Populus_imagines"
10.7916666666667 54.7916666666667 "Populus_spp"
12.625 54.125 "Populus_spp"
16.5416666666667 48.7083333333333 "Populus_spp"
15.2083333333333 49.125 "Populus_spp"
7.70833333333333 50.0416666666667 "Populus_spp"
5.375 48.4583333333333 "Populus_spp"
4.125 51.5416666666667 "Populus_spp"
25.2083333333333 51.375 "Populus_spp"
25.0416666666667 51.625 "Populus_spp"
11.0416666666667 53.875 "Populus_spp"
7.95833333333333 47.5416666666667 "Populus_spp"
25.7916666666667 50.375 "Populus_spp"
20.7083333333333 48.7083333333333 "Populus_spp"
21.2916666666667 51.0416666666667 "Populus_imagines"
22.625 48.7083333333333 "Populus_spp"
23.7916666666667 47.625 "Populus_spp"
24.2083333333333 51.9583333333333 "Populus_spp"
14.375 53.7916666666667 "Populus_spp"
6.375 50.2083333333333 "Populus_spp"
15.2083333333333 50.2916666666667 "Populus_spp"
9.70833333333333 51.125 "Populus_imagines"
10.125 54.2916666666667 "Populus_spp"
21.7083333333333 47.0416666666667 "Populus_spp"
21.0416666666667 51.5416666666667 "Populus_imagines"
20.125 49.4583333333333 "Populus_spp"
15.125 52.5416666666667 "Populus_imagines"
26.875 51.7083333333333 "Populus_spp"
21.7083333333333 54.7083333333333 "Populus_spp"
21.9583333333333 48.9583333333333 "Populus_spp"
7.45833333333333 48.7083333333333 "Populus_spp"
22.5416666666667 47.625 "Populus_spp"
22.2083333333333 54.4583333333333 "Populus_spp"
20.7083333333333 47.0416666666667 "Populus_spp"
11.625 54.875 "Populus_spp"
15.2083333333333 51.7083333333333 "Populus_imagines"
24.0416666666667 50.625 "Populus_spp"
12.0416666666667 54.2083333333333 "Populus_spp"
9.875 54.2916666666667 "Populus_spp"
15.4583333333333 53.875 "Populus_spp"
20.875 50.7916666666667 "Populus_imagines"
3.95833333333333 49.125 "Populus_spp"
27.0416666666667 50.7916666666667 "Populus_spp"
23.875 53.7916666666667 "Populus_spp"
14.0416666666667 50.0416666666667 "Populus_spp"
9.04166666666666 48.7083333333333 "Populus_spp"
6.54166666666666 47.9583333333333 "Populus_spp"
10.9583333333333 54.2083333333333 "Populus_spp"
8.375 47.875 "Populus_spp"
11.625 50.375 "Populus_imagines"
5.375 50.375 "Populus_spp"
23.0416666666667 50.2916666666667 "Populus_spp"
23.5416666666667 53.4583333333333 "Populus_spp"
7.95833333333333 50.5416666666667 "Populus_spp"
25.2916666666667 53.9583333333333 "Populus_spp"
9.29166666666666 52.375 "Populus_spp"
25.375 49.875 "Populus_spp"
11.7083333333333 50.4583333333333 "Populus_imagines"
22.875 52.2083333333333 "Populus_spp"
14.4583333333333 53.2916666666667 "Populus_imagines"
13.875 49.7916666666667 "Populus_spp"
12.7916666666667 50.4583333333333 "Populus_imagines"
23.375 53.9583333333333 "Populus_spp"
25.625 52.875 "Populus_spp"
20.9583333333333 48.0416666666667 "Populus_spp"
15.0416666666667 49.625 "Populus_spp"
15.2083333333333 49.7916666666667 "Populus_spp"
23.2916666666667 54.9583333333333 "Populus_spp"
6.29166666666666 48.4583333333333 "Populus_spp"
17.5416666666667 49.7916666666667 "Populus_spp"
17.7083333333333 52.2083333333333 "Populus_imagines"
6.625 51.2916666666667 "Populus_spp"
5.875 51.9583333333333 "Populus_spp"
18.875 52.2083333333333 "Populus_imagines"
9.125 47.2083333333333 "Populus_spp"
9.20833333333333 47.5416666666667 "Populus_spp"
9.20833333333333 55.125 "Populus_spp"
26.2916666666667 52.7916666666667 "Populus_spp"
18.5416666666667 50.625 "Populus_imagines"
6.625 49.2916666666667 "Populus_spp"
5.95833333333333 49.2083333333333 "Populus_spp"
6.04166666666666 49.9583333333333 "Populus_spp"
12.7083333333333 51.5416666666667 "Populus_spp"
18.4583333333333 49.4583333333333 "Populus_spp"
17.7083333333333 50.7916666666667 "Populus_spp"
16.625 47.7916666666667 "Populus_spp"
17.9583333333333 50.875 "Populus_spp"
19.2083333333333 46.7083333333333 "Populus_spp"
23.2083333333333 54.125 "Populus_spp"
11.0416666666667 50.7916666666667 "Populus_imagines"
